"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
2312,2625,1066,869,653,3376,3091,1104,1852,3171,2533,1806,3161,2099,2816,2142,67,3177
359,960,2210,1988,440,3437,3492,2995,827,528,1344,632,1158,1905,918,2943,3248,768
2772,634,2215,2060,1498,1378,1142,3001,539,1386,3266,1748,3071,2555,2540,92,2662,2428
962,3484,1950,2870,2118,1775,1189,1178,3114,453,2584,81,1440,3395,571,3238,615,586
1673,1190,403,2748,1787,1101,274,3233,347,1402,1739,2282,3515,1563,3247,1137,1306,3251
1206,1290,3397,1300,1872,246,1998,3449,523,1948,3179,2996,613,368,3226,1137,2530,707
1357,3528,3216,708,1964,3408,1033,2134,1837,1119,1532,2157,2697,2478,1935,2025,1858,3387
2855,3061,1217,673,1252,2034,1711,3354,280,2721,2731,207,3043,1619,2001,241,1197,3519
3045,1361,1959,3473,2519,3461,1179,2481,1765,3290,892,562,846,96,1953,1945,1324,1417
1391,477,3491,1951,1360,712,328,3339,144,1694,1146,1836,2537,3129,1645,1561,2725,795
2107,1079,963,104,3483,2068,3481,1192,244,911,1007,537,160,157,3400,877,3183,2378
591,972,2238,826,2041,3095,3453,501,1941,2977,1881,178,2221,39,1535,1555,1917,1734
1097,561,2785,1182,2317,3286,169,1789,2279,2708,2634,2195,2219,32,1724,2019,1088,1349
639,116,118,2096,375,3338,1553,2190,1183,3448,2992,2344,3089,3377,2391,931,2054,1215
1009,1353,3321,1596,2468,2412,1307,1326,3038,683,2602,2895,39,355,475,1624,2675,1346
2816,1231,1811,3362,1685,3145,2099,1852,2922,2226,3069,3376,1376,497,1429,2533,1527,1066
2205,741,1755,2061,201,305,3105,3243,3220,3008,3289,2800,3421,3429,1281,1143,1482,802
2170,1014,53,654,2456,445,2635,3235,1863,547,1979,3096,3028,1771,2079,889,258,2204
1970,2181,3199,2233,1749,1791,1870,3084,2985,125,155,3200,494,1804,1243,783,467,449
2561,727,2904,3312,3259,3357,1816,851,1593,2909,2049,1343,1313,1578,2475,1052,291,42
2689,1420,2206,2384,3110,2416,1708,1913,3399,3374,2178,2553,1195,499,624,2101,2677,36
59,1549,543,557,1171,308,3108,784,2844,1948,3164,2717,2993,2530,1031,2950,1594,368
3271,2609,2624,1459,1846,2389,3455,820,2185,2463,2969,1222,31,3068,1601,3240,2032,1312
2620,2431,1098,1993,191,1455,1895,3278,2551,3127,1828,3350,436,550,3366,2095,2437,2091
1841,748,2648,630,1741,856,2218,1756,443,518,2316,3055,1566,2614,1045,2664,342,1314
1911,1240,1467,998,2898,2901,1296,1697,1812,1436,2129,112,2117,1577,68,560,358,1720
541,250,1808,1723,1642,2135,3165,2334,1607,468,490,338,2077,2695,2260,2320,1833,163
2373,2836,3523,723,318,2813,87,1423,189,761,1570,2435,2126,597,3368,3037,3361,2910
438,3237,3331,1311,893,278,2615,3074,2093,1938,2734,991,2031,3310,2887,423,1339,813
2864,593,619,1258,3518,1567,752,302,3490,239,1219,148,2397,1572,1519,2841,2686,2009
3313,3271,3455,820,3282,292,2624,1459,1548,651,830,3305,23,3003,2032,3189,1601,352
2467,561,1985,3261,2279,2708,1160,1051,2317,3286,3406,3000,416,13,2019,938,1349,332
1640,1297,138,3197,3075,3272,1371,2639,778,764,2193,1298,3033,225,34,1764,521,77
2193,927,2033,1297,346,1371,3272,461,2125,3077,1640,76,1764,585,33,3033,874,3066
228,2927,1477,2490,3135,1086,1048,1374,781,2308,801,2919,2076,836,353,3505,1616,542
786,2553,3374,371,3110,1597,2383,2874,2416,3031,2206,3431,901,2677,499,1172,21,1139
1533,642,686,909,1083,2044,1722,832,556,2051,1821,454,319,540,2724,2696,2851,361
2741,465,3044,150,2112,2580,882,728,3178,2542,2796,298,3014,1630,661,1238,695,397
1353,972,1307,1326,501,2977,3321,1596,826,2041,2256,1452,15,12,475,1346,1555,1734
3340,3222,3470,1696,1012,2499,850,1733,792,2862,2846,2307,600,970,2229,1021,1878,2688
1110,2935,829,2943,2039,1344,918,1546,519,172,440,1035,2327,3285,2210,891,827,581
2049,3274,1631,3357,259,2909,822,1857,3312,956,162,727,291,2485,1916,1484,20,1578
3063,987,1054,1612,419,921,187,333,1170,3498,879,3418,3176,583,1315,2299,1871,1726
2335,313,707,913,980,523,1483,2525,484,1872,2192,368,1819,2996,1883,183,2717,1290
2865,2326,2773,2516,3447,637,2860,1454,3034,943,933,2296,3107,388,1496,821,2687,1117
2237,3287,2021,2659,271,652,441,2362,2415,1737,1861,1227,762,3078,401,924,971,1127
2913,1751,1412,965,1517,3488,324,690,388,3510,2819,2820,329,3034,2818,1680,2261,1424
1622,1559,1831,1952,2280,1291,317,109,2345,2164,2742,750,2444,1108,1276,3065,2788,2853
136,3327,672,2651,1901,1286,1100,981,677,1248,2066,610,121,1032,669,1824,1565,1869
2833,1977,3087,2550,2323,1274,3058,307,2146,79,801,884,2217,1204,3505,353,1003,1644
1320,2069,847,595,2123,2643,974,508,2694,2202,220,839,193,838,2841,2892,1915,429
1047,1001,584,2408,1085,1351,1501,3383,1277,3205,1019,3213,170,2413,1429,2422,67,724
1014,445,18,1863,3235,2170,3028,2079,654,1771,2204,3096,2635,258,2456,1203,2268,547
1198,633,3467,153,2831,3508,704,1224,184,3029,2355,700,2342,920,1319,1010,1629,2847
1338,1475,3217,3187,1269,1818,2961,386,2531,760,1768,2883,529,430,746,3318,845,2127
301,902,1502,1767,1541,1897,1129,1606,1476,3172,804,2877,500,120,2243,1521,2701,3181
2754,107,2803,212,1721,1184,1194,2685,2991,2301,1522,810,2808,3422,1627,2661,2359,115
1530,470,2102,1016,89,989,1288,2472,606,3195,1851,1543,221,2574,1421,2956,2450,2644
2993,22,3108,784,543,557,849,1332,1171,308,1031,2950,532,1549,3016,3164,589,2717
498,2814,2812,1327,2510,364,3335,1929,340,1978,2868,312,2328,582,2633,1531,2918,2341
3526,1746,2045,3181,2169,2963,2786,1476,2055,434,777,220,2243,2071,281,500,2892,1915
2757,3422,1815,2430,1779,2817,1509,1405,2991,2301,1859,2140,1753,107,2984,2239,3468,2628
1478,3303,3125,1801,1742,3086,1683,2059,738,2771,1059,96,167,1611,2165,426,1571,892
194,2251,2386,1667,469,2798,175,2879,3497,1592,1232,2162,265,2875,2518,1212,1758,3036
1248,168,2939,1032,331,1540,1824,3327,1247,2388,3032,983,1901,641,1649,677,740,188
258,1220,1180,3096,2030,535,1766,3235,495,1728,1916,547,1771,2168,3341,162,654,1042
2142,1019,2533,1085,3091,1277,584,3171,2099,1754,869,1001,1429,200,2625,2413,3376,52
2898,2129,3140,1436,2438,941,1467,2304,2610,3291,1240,1390,574,560,26,1577,2502,3097
2219,817,169,1437,2714,3010,1097,2228,1724,1866,1516,1163,2785,2387,719,1789,3355,1800
2288,392,390,2973,2424,787,1674,3363,1856,333,1564,1576,3039,2299,1410,583,2600,1234
