"V1","V2","V3","V4","V5","V6"
2312,2625,1066,869,653,3376
359,960,2210,1988,440,3437
2772,634,2215,2060,1498,1378
962,3484,1950,2870,2118,1775
1673,1190,403,2748,1787,1101
1206,1290,3397,1300,1872,246
1357,3528,3216,708,1964,3408
2855,3061,1217,673,1252,2034
3045,1361,1959,3473,2519,3461
1391,477,3491,1951,1360,712
2107,1079,963,104,3483,2068
591,972,2238,826,2041,3095
1097,561,2785,1182,2317,3286
639,116,118,2096,375,3338
1009,1353,3321,1596,2468,2412
2816,1231,1811,3362,1685,3145
2205,741,1755,2061,201,305
2170,1014,53,654,2456,445
1970,2181,3199,2233,1749,1791
2561,727,2904,3312,3259,3357
2689,1420,2206,2384,3110,2416
59,1549,543,557,1171,308
3271,2609,2624,1459,1846,2389
2620,2431,1098,1993,191,1455
1841,748,2648,630,1741,856
1911,1240,1467,998,2898,2901
541,250,1808,1723,1642,2135
2373,2836,3523,723,318,2813
438,3237,3331,1311,893,278
2864,593,619,1258,3518,1567
3313,3271,3455,820,3282,292
2467,561,1985,3261,2279,2708
1640,1297,138,3197,3075,3272
2193,927,2033,1297,346,1371
228,2927,1477,2490,3135,1086
786,2553,3374,371,3110,1597
1533,642,686,909,1083,2044
2741,465,3044,150,2112,2580
1353,972,1307,1326,501,2977
3340,3222,3470,1696,1012,2499
1110,2935,829,2943,2039,1344
2049,3274,1631,3357,259,2909
3063,987,1054,1612,419,921
2335,313,707,913,980,523
2865,2326,2773,2516,3447,637
2237,3287,2021,2659,271,652
2913,1751,1412,965,1517,3488
1622,1559,1831,1952,2280,1291
136,3327,672,2651,1901,1286
2833,1977,3087,2550,2323,1274
1320,2069,847,595,2123,2643
1047,1001,584,2408,1085,1351
1014,445,18,1863,3235,2170
1198,633,3467,153,2831,3508
1338,1475,3217,3187,1269,1818
301,902,1502,1767,1541,1897
2754,107,2803,212,1721,1184
1530,470,2102,1016,89,989
2993,22,3108,784,543,557
498,2814,2812,1327,2510,364
3526,1746,2045,3181,2169,2963
2757,3422,1815,2430,1779,2817
1478,3303,3125,1801,1742,3086
194,2251,2386,1667,469,2798
1248,168,2939,1032,331,1540
258,1220,1180,3096,2030,535
2142,1019,2533,1085,3091,1277
2898,2129,3140,1436,2438,941
2219,817,169,1437,2714,3010
2288,392,390,2973,2424,787
1884,988,1747,2636,1112,515
314,2965,2806,3224,2005,2302
1060,1957,1890,2822,2541,1474
1176,771,437,2370,236,859
405,2578,2214,2621,1825,1940
3066,874,3450,346,2144,2033
1298,396,662,3075,3356,778
2500,1671,3212,2291,1881,1535
2550,1221,2833,1644,382,2217
1709,1618,734,1538,3381,123
3114,2870,586,1775,2645,962
866,1630,2319,682,1843,3249
2577,531,2801,834,1207,757
979,2154,1132,2092,1294,2484
496,3280,1265,2297,2078,2422
3429,3382,1390,1004,478,2502
3523,2373,597,3037,28,1570
1018,2728,1932,3385,1543,2644
2472,1421,2102,1851,1530,58
2143,2342,3438,2642,2421,2501
3438,2501,3142,2269,2011,1875
525,1748,1142,1378,139,2598
1956,134,357,2175,588,815
3419,1183,3215,128,1080,3377
420,2591,1022,3185,1790,2158
2165,1179,892,1959,3125,1742
1127,539,924,110,3071,509
2587,2695,1334,1403,3520,2087
3156,1976,1684,2194,973,320
1711,3148,1416,3262,3043,608
1754,3182,200,512,2324,2982
2249,3407,1410,1886,2381,626
2090,993,2197,297,3054,549
963,911,1007,11,877,1079
2340,421,3529,2399,2969,2032
2449,596,237,1406,2232,2310
57,3422,2991,2301,212,1184
1315,1425,1575,3347,187,625
1831,222,2788,1622,3442,2444
2213,509,97,2340,1127,2399
3047,1674,2381,2299,1691,879
358,1720,998,861,2901,2799
1641,1368,2567,1933,985,2908
379,774,1536,1544,2436,2760
810,2628,1339,2301,991,1184
3377,14,375,3338,1183,3448
2593,1470,2954,1146,638,795
1553,375,931,2344,639,14
737,934,2710,2161,1793,236
363,804,1129,1512,902,3352
136,433,1100,981,1869,2294
2999,1826,460,3516,631,994
2319,1805,1538,3409,1618,80
2995,167,793,1138,1158,442
2557,2015,2233,783,1804,3199
1915,2967,2694,2886,936,434
1699,2398,2167,1139,2680,3431
767,3377,3419,94,2322,2828
336,2062,912,1844,1037,2443
1235,430,3134,1903,402,3465
361,3393,506,688,3076,3439
1322,883,1869,2611,526,433
1310,756,2582,2376,3416,1324
3293,93,588,815,711,3500
2914,3318,1795,3465,1665,2961
49,121,672,2651,1100,981
2786,2071,3320,1585,1746,281
225,33,3075,3272,778,764
2598,1919,92,525,1748,3121
1008,799,1073,3378,2074,860
1250,923,3279,303,2212,2931
2962,1030,599,1780,1605,2366
2682,3112,3092,3102,270,2458
511,1360,1272,3129,1561,477
321,1577,2947,2610,1280,479
3127,3024,1024,1669,550,1879
726,299,599,1030,1415,922
2686,2009,1636,415,3518,1567
2732,282,2674,2928,3162,1257
2580,3178,38,298,465,397
706,2062,3053,667,2230,3493
1375,1011,481,2656,2092,1294
1319,2355,3508,704,1198,54
1393,473,818,2471,1830,2425
1243,783,2181,2958,2233,2447
219,2387,555,999,650,3253
1090,1079,486,919,244,911
3489,1091,1920,1354,538,2563
2674,1829,578,3162,3090,2604
238,2107,2003,1687,3481,1192
3042,754,290,1043,2357,3384
1916,1484,1180,1766,1631,259
1202,1254,490,3118,2135,468
1662,3060,620,3297,2792,1599
3494,914,1115,862,367,3230
1301,1880,206,1480,984,1155
1478,124,1683,2059,793,1138
65,641,331,1540,1247,2388
2785,1097,69,2219,1724,1437
1641,1047,1501,3383,575,1518
282,432,3466,1341,2674,2928
2039,2728,2935,581,2409,3285
1222,1312,2080,1732,1067,3208
666,496,1076,1524,3304,1639
265,2251,2448,194,2518,64
2426,658,1894,1317,1703,3433
1310,2122,1953,304,3402,562
1917,1734,2041,2945,3095,2027
412,3365,1981,183,1145,2192
2810,1490,322,1718,2475,1822
1251,1160,2461,1191,416,408
2723,1411,1515,2367,2244,3334
1634,2192,913,179,412,484
2831,415,2686,920,2847,633
217,2920,2535,1646,1840,1471
2802,2866,2581,1056,749,2835
987,3063,1575,3176,1315,108
983,1999,2793,1540,3206,2388
2813,725,2836,2910,2126,2128
2240,2462,517,1731,809,729
3278,1455,2437,3350,24,1098
2199,1678,3328,2779,2411,3436
1320,2623,974,508,1588,1177
64,2251,265,175,1667,2879
1802,1325,2658,1075,2692,1653
2459,655,681,1738,283,1944
1057,269,1892,1456,3214,457
3342,1550,2601,257,1113,2937
2875,1603,564,1153,2248,1044
2142,2324,1754,3161,101,3171
3220,1755,1143,741,3289,17
1804,1820,2491,1461,598,2557
3300,424,2329,1113,2590,2937
780,254,2948,209,448,2040
745,3231,2700,2336,3275,2425
2978,166,984,1155,3048,1164
1197,3519,673,2434,1252,1362
1706,2972,397,2403,2546,3059
3296,2040,1431,204,780,514
2876,1598,2994,234,2441,1065
423,3425,769,2615,944,2429
1522,2991,2803,2661,57,107
482,245,841,3102,2975,270
975,339,937,3257,268,1615
1753,2531,2358,2899,835,529
812,398,3446,534,365,611
1486,185,1840,1926,1471,3169
3155,3157,1162,3164,1995,1031
3475,156,3269,2552,555,999
2892,1915,847,2169,2123,2963
470,1288,827,1905,606,519
109,929,3442,2444,1256,668
1092,1372,3163,3509,1854,2649
2289,2126,3258,488,785,725
138,1882,778,764,864,2738
3242,806,1892,2737,3214,1213
692,1855,2727,1133,3246,1595
2076,35,1048,1374,1086,1477
3325,2581,1148,2845,2802,2594
1678,858,1140,3035,2245,2012
1015,1960,1450,788,1068,3094
3411,357,746,3410,1768,1956
304,1081,590,3439,2122,819
2235,1598,2876,210,2207,1782
410,2916,2882,2246,3502,952
1793,437,2710,1176,119,503
2038,2232,644,2449,106,628
1792,160,261,2857,2003,1687
2417,1258,619,3507,1572,1519
3003,696,1797,3276,1690,1548
807,2731,940,733,280,2034
378,2595,1128,1786,2660,3022
1847,946,2830,504,2445,2111
486,3483,2647,3183,1079,157
3102,213,3092,482,143,2657
1948,3397,2530,1290,3179,6
1435,794,2151,3264,1203,2268
665,1570,1064,3037,3368,896
1256,1266,929,660,2091,2364
27,2695,1642,2135,1607,468
585,2103,3456,3317,922,3329
