"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36"
3517,2312,1052,394,2107,481,3076,898,3576,570,1450,684,1246,2028,3025,1001,827,3321,1972,467,139,247,562,1242,483,1493,2933,44,1582,1203,860,1390,1524,3016,2416,3534
686,2317,1605,1492,1871,3083,581,3338,102,3150,2627,2519,1290,566,1713,1621,2682,2951,3192,107,553,3009,781,1012,2601,159,2602,1090,3198,1066,3408,123,3304,1255,2042,1221
3002,1835,575,2265,1701,3286,252,2611,986,759,2505,2355,327,2876,2729,2239,2907,1710,2044,2249,495,3352,1975,1244,3086,3047,3559,2515,1399,501,2559,3390,3187,711,2886,1398
2074,2952,1057,3567,2227,2949,1896,228,1281,3191,1266,3128,1589,90,2671,493,111,2588,674,580,1739,3469,3036,622,1545,3310,637,2597,429,667,37,2313,2726,3330,2693,3561
1910,442,1195,1792,2822,303,3307,2372,1860,3597,1412,1228,3320,2744,1089,3251,3439,2030,948,2114,1382,3472,665,3123,2618,666,1282,3230,2924,2211,273,1296,446,1705,6,364
1296,1406,3472,1996,1393,273,2114,3532,565,3251,2072,3077,666,1228,407,2618,3300,765,3439,2372,3214,1074,1455,339,48,533,1663,303,2744,522,2792,1407,442,993,2924,1412
1465,3288,2087,3610,1960,1646,2564,2145,3461,2697,2659,1702,2865,1774,2845,1356,2579,2808,2118,3008,2012,2628,168,2276,589,1976,3236,80,2080,1159,1555,2750,2437,1954,1516,179
2935,1306,3142,2152,727,1348,1828,3427,2807,308,2796,232,3126,2117,1731,269,3601,1287,110,1519,2262,1032,1340,1736,2734,2426,1470,2528,3079,791,661,928,3121,875,1379,3305
3129,3556,1469,3545,2082,2606,2567,1268,606,3362,1886,966,919,2076,1280,1429,106,2069,2662,2636,1520,2271,2789,1863,193,1416,797,2815,2229,3202,861,151,2228,3175,3375,3477
1497,2075,515,772,3575,1468,3413,361,1959,1810,163,1239,2624,1760,3205,2801,862,1673,731,3535,1389,2608,3609,2778,3101,921,555,1373,132,2678,2593,1104,3227,573,1578,1550
1058,2218,1176,115,3566,2186,991,1283,3563,1100,272,578,180,176,3475,950,2467,3254,2122,1002,524,2612,1804,3105,3466,2728,1999,2131,3203,1604,264,1185,2374,2088,1332,1544
1067,2160,642,3173,897,2336,3058,542,195,2065,3536,2003,42,1855,2320,2040,1669,1649,1432,1557,1944,2976,1413,2353,454,1861,2587,88,1459,1567,664,3285,649,513,2495,1790
605,2409,1272,3358,1191,2862,2781,2370,1912,187,2299,2713,34,2318,1454,1183,2139,1843,3333,2104,74,3481,1626,3082,1542,2928,476,2616,2721,504,2554,3093,3460,1921,1315,3411
3225,331,2063,1270,1768,3190,1146,735,173,2869,870,1405,3289,1277,1709,2269,1219,2868,1120,2400,1522,3322,705,851,3323,1870,194,62,1345,1054,1126,2650,287,997,2202,2520
131,3412,692,2208,412,133,3531,1274,3072,2294,1667,2434,3449,1304,3171,2480,2172,1021,2908,2361,3015,2631,105,1177,2371,2469,1422,2287,3149,1819,3234,145,547,2270,3443,1298
1103,2555,1459,1706,2503,3391,740,3121,2974,1432,1413,2686,388,42,1736,513,3022,1470,3601,3058,1557,542,2353,1340,3222,289,1067,3427,574,232,1855,1669,661,2528,2811,2160
2308,1878,222,801,2178,335,3180,3318,3293,3361,2878,3498,1590,1236,3508,1381,3585,846,680,3179,2394,2591,1423,2655,512,794,96,619,2967,604,2429,2443,2532,1659,535,1866
3272,1872,2331,2091,2283,1913,141,3064,3164,174,1992,3273,1926,847,535,1339,489,507,2645,2135,794,2577,1866,2429,2574,1599,2000,1895,3041,846,223,2979,2798,2484,3258,3585
3430,787,3331,2989,2166,1704,1449,45,1688,2560,3066,3346,1049,1743,354,2889,3283,288,197,2572,2396,2039,1291,1720,1312,1979,1598,182,1946,3501,1592,1836,1224,2261,865,2113
1525,2764,2309,2474,2508,3186,1825,3474,2280,2036,3446,2641,1286,677,539,2212,2752,39,1607,782,2549,699,1615,359,2472,850,3115,1079,1318,1707,1365,1136,2676,1893,410,1778
742,2157,2986,2837,2826,76,1788,221,3530,338,212,871,230,777,2129,2885,1396,1431,391,256,3187,2367,3509,3374,607,1000,447,374,1347,1461,1929,835,3352,227,449,963
1663,1259,63,586,339,601,2924,2072,3238,3184,848,2792,2618,1705,3073,1127,407,3031,2744,1382,921,3101,273,3229,243,1393,1436,640,1074,1591,3251,573,3227,3230,565,1062
3262,536,925,2251,128,3471,540,1827,2127,1401,2449,1759,878,2140,1220,1325,1125,3356,1462,118,1994,1273,2180,2499,1010,3519,2521,1366,201,2444,3337,951,3242,837,3409,1378
2690,2478,1564,3343,1968,2703,2551,2290,888,1311,3539,3050,3147,1418,1711,33,3312,2150,1119,404,2407,3578,901,3353,319,190,3377,460,119,1853,2360,3382,2193,3444,623,3611
1192,210,2525,1561,2699,2110,3349,2016,3424,2639,3204,1953,477,2531,593,2203,3438,2207,3034,2929,721,1018,2941,1725,1367,3096,165,3108,3326,673,2887,276,1829,3284,3378,3365
2217,140,2081,71,2070,1783,896,2714,1769,1048,398,527,2381,1111,840,971,2773,3232,1358,405,2584,502,256,2946,516,835,790,3503,3562,154,1000,652,1627,1569,2711,1213
2035,1576,1334,2977,1092,2980,1400,1812,2238,1540,1935,126,2226,604,1686,73,393,1838,1659,512,3486,3405,2691,3215,517,2758,936,2394,2532,2877,975,164,2754,1236,1458,1033
583,1930,277,1755,1842,2242,3239,2424,371,1717,508,529,2192,2412,2770,1957,2356,183,2402,1040,1798,3103,2583,2382,1504,2687,3602,1353,313,1293,2938,1162,108,1880,628,3196
2918,2892,349,783,3605,2462,1528,208,819,97,2529,1679,2235,648,2990,3434,3440,3120,849,785,1821,3595,2059,856,2237,1138,834,718,275,1635,249,1693,3165,996,503,3554
3404,306,1417,967,480,3309,2205,2061,3154,2695,1086,2810,3380,2149,882,1444,2966,462,1186,1237,1261,1844,1099,2522,577,879,237,1072,1619,130,1463,1292,669,2448,2706,828
1323,1553,614,1949,2473,2078,2696,300,2154,3056,904,3038,3345,2542,1636,2436,457,1950,1595,470,2441,1533,3255,3476,395,1970,1161,235,3526,825,1552,3224,1011,2245,2346,1538
1677,644,672,3600,2944,1359,332,266,3574,167,811,1308,2486,1681,2761,2128,1631,2921,521,2024,3522,2927,2509,411,3590,911,455,1265,1748,552,1324,2050,202,3557,1107,646
3353,3343,3382,888,3539,319,706,1662,901,1564,2703,3377,3085,3260,24,1711,385,2150,3348,2478,1311,1807,3092,1523,1968,3050,1559,2802,3611,623,268,2690,1853,2483,1279,119
2370,3333,605,2554,2104,2781,3358,2409,1150,1249,3082,3481,13,456,2139,1454,1031,364,1272,2862,198,2795,446,2713,2299,615,3411,3460,853,2211,1191,665,2721,476,2884,1183
158,3155,3270,3344,1753,1402,822,839,2719,1479,1403,2297,250,3117,85,564,1885,36,2813,939,2364,3045,435,3157,326,715,1016,500,2151,3136,2004,1902,3429,3189,2585,379
2151,1016,2297,379,1479,1402,2233,500,82,3157,3344,1753,636,3145,946,1885,3117,35,3540,3386,2174,822,1833,3189,158,1902,3533,2252,2719,3270,2364,278,1447,3155,1809,3045
